epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9181.7,1.32051,1.03991,0.0129,0.82163,0.695,0.76726,0.50288,1.43098,1.07897,0.01977,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9414.23,1.31662,1.02183,0.01262,0.84288,0.68505,0.77527,0.51107,1.41339,1.07185,0.01979,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9643.7,1.29803,1.01133,0.01274,0.83649,0.70378,0.78458,0.51405,1.41676,1.05713,0.01974,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9872.13,1.28781,0.99137,0.01244,0.84434,0.70178,0.78436,0.5177,1.40376,1.04954,0.01941,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10101.2,1.3049,0.99149,0.01243,0.86264,0.69546,0.78671,0.51886,1.39995,1.03655,0.0192,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10330,1.28091,0.98968,0.01234,0.83107,0.7069,0.78471,0.51881,1.41618,1.05966,0.01946,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10558.6,1.28462,0.96684,0.01248,0.85846,0.70477,0.79041,0.51788,1.41858,1.04023,0.01947,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10787.6,1.25685,0.9397,0.01184,0.85193,0.7025,0.79274,0.51827,1.40984,1.03199,0.0194,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11017.7,1.24731,0.92234,0.0119,0.86809,0.70274,0.79406,0.51959,1.41158,1.04255,0.019,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11248.1,1.26569,0.93008,0.01201,0.85749,0.70959,0.79394,0.52326,1.40051,1.03659,0.01919,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
