epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2123.14,1.52319,1.28222,0.0119,0.72897,0.55187,0.62057,0.37548,1.88318,1.83301,0.02385,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2182.93,1.52099,1.26127,0.01207,0.75375,0.56574,0.64686,0.39798,1.87433,1.70837,0.02332,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2242.89,1.49151,1.20919,0.01167,0.77118,0.55368,0.64893,0.39413,1.84929,1.73479,0.02268,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2302.44,1.48462,1.19723,0.01155,0.74027,0.55609,0.63039,0.3779,1.85605,1.79909,0.02293,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2362.16,1.48002,1.19967,0.01172,0.70989,0.58149,0.63644,0.38421,1.82676,1.76693,0.02273,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2422.34,1.49146,1.18896,0.01138,0.72983,0.56876,0.63876,0.38515,1.8683,1.72961,0.02306,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2482.58,1.45573,1.14808,0.01139,0.73839,0.59583,0.65833,0.39805,1.8528,1.66196,0.02303,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2542.59,1.49221,1.17815,0.01154,0.77388,0.58022,0.65275,0.39705,1.84295,1.7,0.02314,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2602.58,1.45481,1.13045,0.0114,0.75158,0.57662,0.64823,0.39152,1.79498,1.68274,0.02231,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2662.26,1.45339,1.11813,0.01131,0.77995,0.56652,0.65198,0.39424,1.84,1.76762,0.02249,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2721.76,1.44367,1.09784,0.01119,0.74024,0.60374,0.66408,0.41155,1.85254,1.62329,0.02332,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2781.55,1.42703,1.07492,0.01087,0.75177,0.58635,0.65573,0.39488,1.885,1.67922,0.02368,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2841.21,1.42103,1.07505,0.01091,0.77117,0.59168,0.66448,0.40761,1.81399,1.66847,0.02207,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2900.74,1.42547,1.06305,0.01093,0.73549,0.59201,0.6558,0.39747,1.85733,1.7279,0.02325,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2960.79,1.43571,1.06449,0.01079,0.75798,0.60253,0.67038,0.40729,1.91198,1.65156,0.02437,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3020.27,1.40731,1.03605,0.0108,0.78885,0.59771,0.66343,0.4081,1.81686,1.68223,0.02227,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3079.64,1.41205,1.03413,0.01069,0.78688,0.58444,0.667,0.4118,1.8747,1.70137,0.02288,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3139.19,1.38388,1.01111,0.01032,0.80349,0.59047,0.66497,0.40833,1.86022,1.65328,0.02336,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3198.55,1.40736,1.01707,0.01047,0.80478,0.59771,0.67606,0.41974,1.85919,1.598,0.02324,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
