epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,367.84,1.49711,2.22974,0.01498,0.66617,0.55116,0.58144,0.3371,1.57075,1.66576,0.02278,0.0099793,0.00332643,0.0099793,0.00332643,0.0099793,0.00332643,0.0099793,0.00332643
2,739.556,1.52045,1.67659,0.0156,0.67283,0.52862,0.58392,0.31401,1.71915,1.70124,0.0256,0.0197815,0.00659383,0.0197815,0.00659383,0.0197815,0.00659383,0.0197815,0.00659383
3,1068.3,1.64581,1.90822,0.01776,0.5977,0.44783,0.47216,0.24803,1.87426,2.1177,0.03089,0.0293857,0.00979524,0.0293857,0.00979524,0.0293857,0.00979524,0.0293857,0.00979524
