epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4969.87,1.48436,1.4395,0.01517,0.84503,0.63684,0.73923,0.47387,1.49675,1.20518,0.02097,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5115.58,1.48198,1.41347,0.0152,0.84335,0.63115,0.73732,0.47582,1.44935,1.23334,0.02018,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5260.14,1.47156,1.41219,0.01506,0.82967,0.65045,0.74745,0.485,1.4452,1.2004,0.02008,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5407.3,1.46797,1.39029,0.01478,0.82492,0.66188,0.74522,0.48516,1.45114,1.18707,0.01996,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5562.77,1.48448,1.40123,0.01534,0.82723,0.66008,0.74195,0.48704,1.4461,1.20478,0.01994,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5710.12,1.46741,1.37537,0.01509,0.84168,0.65245,0.74998,0.48635,1.4524,1.16662,0.02035,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5861.98,1.46352,1.39625,0.01502,0.80717,0.67225,0.74859,0.48249,1.4666,1.18249,0.02031,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6024.53,1.45754,1.39566,0.01483,0.82781,0.65383,0.75176,0.48905,1.43921,1.17675,0.01972,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6166.27,1.4621,1.35374,0.01469,0.82463,0.6736,0.76041,0.49067,1.47716,1.13983,0.02062,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6309.37,1.45762,1.34591,0.01462,0.82325,0.66886,0.7583,0.4956,1.44013,1.1494,0.01981,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6454.24,1.45465,1.32721,0.01468,0.83652,0.66701,0.76037,0.49988,1.42791,1.13749,0.01946,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6612.77,1.44791,1.3163,0.01471,0.83132,0.68436,0.76882,0.49892,1.45428,1.10909,0.01984,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6760.56,1.42111,1.29981,0.01459,0.87596,0.66181,0.77003,0.50033,1.44817,1.10019,0.01979,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6909.54,1.42495,1.28965,0.01445,0.82557,0.69823,0.7703,0.49941,1.45094,1.11328,0.0199,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7057.75,1.4081,1.26888,0.01424,0.84162,0.67832,0.76802,0.50354,1.43004,1.13435,0.01935,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7204.83,1.41841,1.26696,0.01419,0.831,0.69268,0.77881,0.5064,1.43183,1.10799,0.01962,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7356.75,1.4064,1.2528,0.01412,0.86144,0.68228,0.77415,0.50687,1.42357,1.10762,0.01944,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7503.95,1.40965,1.25009,0.01415,0.85224,0.6782,0.77179,0.508,1.42364,1.08867,0.01933,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7652.15,1.39862,1.23886,0.01413,0.85229,0.68054,0.77574,0.51077,1.40941,1.0869,0.01913,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7799.07,1.40547,1.243,0.01401,0.83961,0.68456,0.77523,0.5118,1.40833,1.09171,0.01905,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7944.67,1.39727,1.25298,0.01397,0.84652,0.68817,0.77996,0.51422,1.41525,1.07609,0.0192,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8096.12,1.37711,1.22406,0.01391,0.85649,0.68312,0.77578,0.50935,1.40268,1.11725,0.01916,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8251.44,1.3679,1.20386,0.01358,0.86753,0.67694,0.77437,0.51378,1.39732,1.11973,0.0189,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8403.63,1.37182,1.20004,0.01378,0.8464,0.69754,0.77891,0.51817,1.41284,1.07601,0.01918,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8556.82,1.37452,1.2097,0.01358,0.85999,0.69095,0.77941,0.51775,1.39937,1.08286,0.01914,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8706.55,1.36864,1.19875,0.01359,0.86772,0.67576,0.77958,0.51823,1.40613,1.08524,0.01929,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8854.58,1.35637,1.18483,0.01367,0.86797,0.68182,0.78201,0.51717,1.41006,1.0685,0.01906,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9010.81,1.34418,1.16704,0.01342,0.85569,0.69314,0.78055,0.51889,1.40452,1.07255,0.01884,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9162.99,1.34744,1.16425,0.01332,0.85246,0.6958,0.784,0.51785,1.41271,1.05847,0.01905,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9317.69,1.3522,1.16904,0.01352,0.86663,0.6942,0.78492,0.52206,1.39896,1.04177,0.019,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9467.5,1.34201,1.15586,0.01313,0.85126,0.71106,0.78786,0.52525,1.39609,1.01593,0.01882,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9615.6,1.3287,1.14643,0.01331,0.85162,0.70472,0.7855,0.52434,1.3998,1.02728,0.01899,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9764.3,1.33789,1.12372,0.01304,0.85056,0.7127,0.78291,0.52166,1.39942,1.05425,0.01901,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9911.6,1.32783,1.15228,0.01318,0.85579,0.70066,0.78094,0.52053,1.39314,1.10101,0.01873,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10062.9,1.31797,1.11846,0.01281,0.85576,0.6935,0.78335,0.5215,1.40324,1.06999,0.01904,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10216.5,1.32851,1.10693,0.0131,0.86271,0.69745,0.78497,0.52266,1.40067,1.04996,0.01878,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10366.8,1.29769,1.0769,0.01273,0.86324,0.69476,0.78416,0.52179,1.39691,1.07238,0.01876,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10521.4,1.30818,1.08958,0.01275,0.8513,0.70135,0.78656,0.52579,1.38717,1.07103,0.01871,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10674.9,1.30726,1.09978,0.01272,0.84924,0.71123,0.78692,0.52554,1.39589,1.06106,0.01879,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10831,1.30935,1.09726,0.01285,0.86024,0.69962,0.78562,0.52509,1.39682,1.07369,0.0186,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
